epoch,train_loss,val_loss,train_dice_coefficient,val_dice_coefficient
0,1.3916207235070723,1.3857386712517057,0.1691190119408354,0.12569409374742202
1,1.4184002499037152,1.3501225079808916,0.08260091915255106,0.15148367542673702
2,1.3954098526435563,1.3479186913796835,0.09349400342642507,0.13500830161990182
3,1.3530919114245643,1.242816591688565,0.10423879139125347,0.20282473782842447
4,1.239493940449968,1.2184313293014253,0.18691729509000538,0.2068364697225791
5,1.235308410246161,1.2174729632479804,0.17483290718703332,0.19561636514429534
6,1.2112815395186218,1.2267849168607168,0.19221696276453476,0.18836447056382893
7,1.2382597681842273,1.254438477754593,0.16058764135158515,0.1528633553468223
8,1.1887779235839844,1.1270634370190757,0.20490984052796907,0.282666200557391
9,1.1389230150210707,1.140011494074549,0.2516589540092251,0.26525607713514804
10,1.0865304062638101,1.2099277185542243,0.29951483199868023,0.1948067312128842
11,1.0958614221102074,1.1505255218063082,0.28851415084887155,0.25616352853498287
12,1.056128662598284,1.233705762880189,0.32445975760870344,0.2083251146478038
13,1.036075411718103,1.0037611050265176,0.3420562189591082,0.4073241842112371
14,0.9828796673424637,1.2603720388242177,0.38995257812210277,0.16712062554818527
15,0.9504547179499759,1.0277637390153749,0.41814842386336265,0.4191146068468307
16,0.9204783235924153,1.0295527903097017,0.44377205832095085,0.4076825382553839
17,0.8706262790704076,0.9997851197208677,0.4862078484855121,0.46694407094536083
18,0.8288197653203071,1.2130354396998881,0.5182313832301128,0.3735855992348661
19,0.7958955530878864,1.2677220278552601,0.542883300705801,0.4292149272142394
20,0.7590123724333847,1.1776023694447109,0.5720886674862874,0.4367823393341886
21,0.6905105476137958,1.2240974066512926,0.6161622759662096,0.32246225020270297
22,0.6645016873939128,1.1314586111477443,0.6339359705961203,0.3796199823920428
23,0.6301331889780262,1.380592883591141,0.6537021904052058,0.39700374145213574
24,0.543261780014521,1.4452697281326568,0.7072106313101852,0.4420597943876471
25,0.5481895193268981,1.5170123662267412,0.7055999338626862,0.15989562947610725
26,0.5291785171514825,1.7816758321864263,0.7163600004926512,0.08289285680480783
27,0.47371841948243637,1.1856468153851374,0.7483762540394747,0.38320889098187244
28,0.4402000409892843,1.2018495114786285,0.7698991751369042,0.3536605477116869
29,0.3868025235737426,1.5399656836475646,0.8000112326839303,0.4880056728409337
