Epoch,Train Loss (Default),Validation Loss (Default),Train Dice Coefficient (Default),Validation Dice Coefficient (Default),Train Loss (Prt),Validation Loss (Prt),Train Dice Coefficient (Prt),Validation Dice Coefficient (Prt),Train Loss (Frz),Validation Loss (Frz),Train Dice Coefficient (Frz),Validation Dice Coefficient (Frz)
0,1.6261079549789428,1.527563226222992,0.3484386682510376,0.2625258475542068,1.5568329572677613,1.7959170937538147,0.2962466314435005,1.5187413737294265e-06,1.555314040184021,1.8235948085784912,0.30170086622238157,0.006395420269109308
1,1.5267848730087281,1.5297260880470276,0.31917231231927873,0.20211850181221963,1.6076290726661682,1.757412838935852,0.16271190121769905,4.54318442280055e-06,1.5868574023246764,1.7741072058677674,0.18350933194160463,0.002766342123504728
2,1.5036636590957642,1.5303971290588378,0.25584133714437485,0.1854321278631687,1.680319571495056,1.720802938938141,0.034538859967142344,1.2203614187455968e-05,1.664356815814972,1.7237374782562256,0.048909339122474194,0.002175197540782392
3,1.5179151892662048,1.521082603931427,0.20509442165493966,0.19423132836818696,1.6828486680984498,1.6966862440109254,0.007529587228782475,7.201484895631438e-05,1.6781439423561095,1.6930963397026062,0.011666621919721365,0.0030174761777743697
4,1.5216556310653686,1.5124173164367676,0.1855859026312828,0.20110502168536187,1.6763113498687745,1.6846776843070983,0.0031978401471860706,0.00033133278484456243,1.6747168898582458,1.6800127029418945,0.0050848832353949545,0.0031448543537408113
5,1.5191800117492675,1.5111430764198304,0.17966587394475936,0.19810052067041398,1.6706642866134644,1.677084505558014,0.002145898342132568,0.0010436487413244323,1.669697642326355,1.6752316236495972,0.003621053043752909,0.002962126664351672
6,1.516589617729187,1.5132573246955872,0.17657012343406678,0.19138413220643996,1.665022075176239,1.673021423816681,0.0018304354976862668,0.0010867794626392424,1.6637267470359802,1.672977864742279,0.003580483980476856,0.0027241641539148985
7,1.5146320819854737,1.5145482063293456,0.174071504175663,0.18624300956726075,1.6586843967437743,1.6697963356971741,0.001974233554210514,0.0010380016436101868,1.6567840218544005,1.6700517535209656,0.004199883970431984,0.002640884928405285
8,1.512698483467102,1.51575026512146,0.17228898108005525,0.18171209394931792,1.651541817188263,1.6652850270271302,0.0023939803009852766,0.0011261660314630718,1.64843670129776,1.6650808572769165,0.00561094016302377,0.003065282478928566
9,1.5111998558044433,1.5160560965538026,0.17056448608636857,0.17862398251891137,1.6430518746376037,1.6592654228210448,0.0035153582226485013,0.00151343330508098,1.6378925085067748,1.657985472679138,0.008357778377830982,0.004194211191497743
10,1.509465754032135,1.5159054398536682,0.16948167979717255,0.17628227025270463,1.632959246635437,1.6518383264541625,0.00557603882625699,0.002447907463647425,1.6244914650917053,1.648540985584259,0.012878505885601044,0.006487814080901444
11,1.507997167110443,1.5153733611106872,0.16853112876415252,0.17471088618040084,1.6204294562339783,1.6432973861694335,0.009443287551403046,0.004121718741953373,1.6067456603050232,1.6360531210899354,0.02050283309072256,0.010813732119277119
12,1.5061874866485596,1.5163278460502625,0.1680554121732712,0.17175231203436853,1.6051599502563476,1.63349130153656,0.015465211775153875,0.006969650276005268,1.5827522039413453,1.6199695229530335,0.03310394790023565,0.018105287849903107
13,1.504795455932617,1.515626358985901,0.16722165569663047,0.1706879697740078,1.586849331855774,1.6223926663398742,0.023960686568170787,0.011271905852481723,1.5498836874961852,1.5989962697029114,0.053494860604405406,0.030166054517030715
14,1.5035352468490601,1.515627646446228,0.16646949723362922,0.16905173435807228,1.5651882767677308,1.6096183776855468,0.03525997214019298,0.01736925560981035,1.5061965346336366,1.5729588627815247,0.08402744680643082,0.04789645336568356
15,1.5025963544845582,1.5153666496276856,0.16561925113201142,0.1677730195224285,1.5410974383354188,1.595797836780548,0.04853949099779129,0.024844343960285186,1.4516520857810975,1.543518590927124,0.1252134457230568,0.07023714073002338
16,1.5016107320785523,1.5147449731826783,0.16492655426263808,0.1669644020497799,1.513477373123169,1.58201607465744,0.06512705385684966,0.03280528802424669,1.3867185592651368,1.5121886491775514,0.17671412229537964,0.09587776735424995
17,1.5008326768875122,1.515095603466034,0.16414750069379808,0.16523723155260087,1.4837321877479552,1.5693811774253845,0.08382789343595505,0.040555924735963346,1.312585139274597,1.483048689365387,0.23699037730693817,0.12082161828875541
18,1.4999684691429138,1.5144213676452636,0.16354496479034425,0.16473401263356208,1.450217318534851,1.5573337078094482,0.10621478259563447,0.04891002867370844,1.2278084754943848,1.4579200983047484,0.3068428099155426,0.14329233765602112
19,1.4990297079086303,1.5148746728897096,0.16315797567367554,0.16314461305737496,1.408830213546753,1.545210099220276,0.1360434241592884,0.05858161598443985,1.1305244207382201,1.4389657616615295,0.3874657958745956,0.16163745820522307
20,1.4980296850204469,1.5148704171180725,0.16269868463277817,0.1621557418256998,1.3525995373725892,1.5309356689453124,0.17983725890517235,0.07176066115498543,1.020056825876236,1.430429255962372,0.4788109987974167,0.17281504198908806
21,1.4969364762306214,1.5153026700019836,0.16237996146082878,0.16071936786174773,1.274021816253662,1.5140668392181396,0.24463921338319777,0.08941516503691674,0.8978863060474396,1.4392531633377075,0.5786018610000611,0.17216520607471467
22,1.496001648902893,1.5157409310340881,0.1620073765516281,0.15935444608330726,1.1696577191352844,1.496986496448517,0.3333592385053635,0.1094817791134119,0.770057487487793,1.4647501826286315,0.6798863470554352,0.16301032900810242
23,1.4952635169029236,1.5155231952667236,0.161550685018301,0.15867798514664172,1.0417165279388427,1.483409595489502,0.4431409627199173,0.12939176633954047,0.6430711865425109,1.5047768354415894,0.7754270076751709,0.14977607131004333
24,1.4944391965866088,1.5149238348007201,0.16127283424139022,0.1584099680185318,0.8988509118556977,1.480234479904175,0.5646303206682205,0.1437008760869503,0.5222715765237809,1.5377546072006225,0.8599842429161072,0.1478012040257454
25,1.4936775803565978,1.5142679929733276,0.16096748635172844,0.15816175267100335,0.7529904186725617,1.4944098591804504,0.6852521300315857,0.14829377457499504,0.41243880689144136,1.5284285068511962,0.9302424669265748,0.17554864659905434
26,1.493061637878418,1.513664424419403,0.16057407185435296,0.1578813012689352,0.6163726508617401,1.5233829855918883,0.7924241483211517,0.14691216945648194,0.31868216395378113,1.5371116042137145,0.9841166198253631,0.18950004801154136
