epoch,train_loss,val_loss,train_dice_coefficient,val_dice_coefficient
0,1.4046156879063625,1.4129674847636904,0.10955604371310462,0.06854523925888185
1,1.2885475225129706,1.2466341938291277,0.13866372564496104,0.16289959843603097
2,1.264645477768722,1.3086757804666247,0.1355683805901486,0.09327354065275618
3,1.2107912702545238,1.1451961968626294,0.18239387166004178,0.25546405469732625
4,1.1558129460948288,1.081026832972254,0.2337419259818686,0.32748254849658615
5,1.1532115057395522,1.1443601199558804,0.232950724827446,0.25322814224221346
6,1.1032522907302638,1.3216261616774967,0.2802211378884923,0.08163381056438083
7,1.0877469073814952,1.004506054520607,0.29372766987082494,0.4036340208724141
8,1.064739906673978,1.0871803888252802,0.31381127410301357,0.31775644224357424
9,0.9975217419445135,1.0229167555059706,0.37730347220400334,0.3928262685219774
